con_date,c13,c9
2013-03-11 00:00:00,206448866.771,9.124
2013-03-12 00:00:00,207088409.6953,9.0282
2013-03-13 00:00:00,205823991.2087,9.0114
2013-03-14 00:00:00,205929013.1953,9.0393
2013-03-15 00:00:00,206029455.6183,9.086
2013-03-18 00:00:00,206049451.2009,8.9222
2013-03-19 00:00:00,206479710.6,8.9738
2013-03-20 00:00:00,206523392.7325,9.2238
2013-03-21 00:00:00,206543827.4428,9.2379
2013-03-22 00:00:00,205859494.9783,9.2881
2013-03-25 00:00:00,206801086.0964,9.2237
2013-03-26 00:00:00,207042378.4215,9.0927
2013-03-27 00:00:00,208193394.9154,9.045
2013-03-28 00:00:00,209285970.8506,8.741
2013-03-29 00:00:00,209513417.3623,8.7274
2013-04-01 00:00:00,209325320.7954,8.7218
2013-04-02 00:00:00,209185767.9557,8.7232
2013-04-03 00:00:00,209216638.4479,8.7308
2013-04-08 00:00:00,209815970.8671,8.6596
2013-04-09 00:00:00,209983362.4205,8.696
2013-04-10 00:00:00,210036156.9211,8.6934
2013-04-11 00:00:00,210226985.2629,8.6681
2013-04-12 00:00:00,210294268.6885,8.624
2013-04-15 00:00:00,210590833.7691,8.5251
2013-04-16 00:00:00,210539678.2891,8.5738
2013-04-17 00:00:00,210589072.8786,8.5583
2013-04-18 00:00:00,210587716.5693,8.5696
2013-04-19 00:00:00,210539075.2562,8.7655
2013-04-22 00:00:00,210630473.8587,8.7473
2013-04-23 00:00:00,210599727.9064,8.5326
2013-04-24 00:00:00,210623175.6661,8.6611
2013-04-25 00:00:00,210845120.7644,8.5897
2013-04-26 00:00:00,211237087.5666,8.5025
2013-05-02 00:00:00,211108263.1431,8.5048
2013-05-03 00:00:00,211156857.9753,8.624
2013-05-06 00:00:00,211112767.8035,8.7182
2013-05-07 00:00:00,211423101.2056,8.7154
2013-05-08 00:00:00,211348311.4632,8.7645
2013-05-09 00:00:00,211621689.4338,8.7011
2013-05-10 00:00:00,211651939.0073,8.739
2013-05-13 00:00:00,211871852.7596,8.6878
2013-05-14 00:00:00,212322324.8267,8.5623
2013-05-15 00:00:00,212425481.7116,8.5839
2013-05-16 00:00:00,212553492.2054,8.6984
2013-05-17 00:00:00,212802256.0002,8.8157
2013-05-20 00:00:00,212975222.2228,8.8637
2013-05-21 00:00:00,213120118.4913,8.8787
2013-05-22 00:00:00,213104304.4942,8.877
2013-05-23 00:00:00,213164081.1789,8.7613
2013-05-24 00:00:00,213055141.1418,8.7942
2013-05-27 00:00:00,214401934.7997,8.7226
2013-05-28 00:00:00,214486140.0371,8.8507
2013-05-29 00:00:00,214444410.2742,8.8512
2013-05-30 00:00:00,214486543.8482,8.8148
2013-05-31 00:00:00,214677897.3116,8.7329
2013-06-03 00:00:00,215249921.5649,8.7104
2013-06-04 00:00:00,214703611.148,8.6451
2013-06-05 00:00:00,214882420.6634,8.628
2013-06-06 00:00:00,215045828.6546,8.5306
2013-06-07 00:00:00,215049268.5686,8.415
2013-06-13 00:00:00,215494519.0696,8.1638
2013-06-14 00:00:00,215676394.9055,8.2004
2013-06-17 00:00:00,215906582.5312,8.1529
2013-06-18 00:00:00,215863020.0354,8.1601
2013-06-19 00:00:00,215968046.9304,8.0908
2013-06-20 00:00:00,216032682.1921,7.8554
2013-06-21 00:00:00,215764247.8371,7.7839
2013-06-24 00:00:00,215441892.8757,7.3921
2013-06-25 00:00:00,214979296.2065,7.3978
